Title,Channel,Category,Duration (s),Views,Likes,Comments,Published At,URL,Type
Cleetus Gets a Talladega Masterclass from Dale Jr.,Dale Earnhardt Jr.'s Dirty Mo Media,Sports,1571.0,394247,25449,1680,2025-04-21T22:21:28Z,https://youtu.be/AQJCJ64YgrY,Regular
Squad is IN DANGER! 😳 #SquadVsMonsters,Squad Busters,Gaming,120.0,329947,14496,922,2025-04-22T11:01:14Z,https://youtu.be/x-spEnJJSeQ,Regular
Manchester City v. Aston Villa | PREMIER LEAGUE HIGHLIGHTS | 4/22/2025 | NBC Sports,NBC Sports,Sports,796.0,551728,6169,398,2025-04-22T21:56:38Z,https://youtu.be/IaSS4GZW87M,Regular
Cardinal Dolan on significance of Pope Francis dying after Easter,TODAY,News & Politics,441.0,545439,8188,1626,2025-04-21T16:03:12Z,https://youtu.be/9aeP6MfCRgM,Regular
"Original Movies in 2025: Oops, All Flops!",RedLetterMedia,Entertainment,3061.0,888461,35298,6933,2025-04-21T14:28:56Z,https://youtu.be/I0Jwv40MkiY,Regular
I Opened 1000 SUSHI ROLLS in Brawl Stars.. here's what happened!,BenTimm1,Gaming,1677.0,774147,10719,792,2025-04-21T15:01:58Z,https://youtu.be/xk6GOSLVh7M,Regular
LISA - Rapunzel (Kiki Solo Version) (Live Performance Video),LLOUD Official,Music,143.0,2514991,327652,15926,2025-04-22T02:00:03Z,https://youtu.be/myPFzhQEghE,Regular
"After Pope Francis, what happens next? | ABC NEWS",ABC News (Australia),News & Politics,756.0,452233,4580,0,2025-04-21T09:30:33Z,https://youtu.be/kG2A1xFWTKc,Regular
Possible candidates to become Pope have already been discussed | 9 News Australia,9 News Australia,News & Politics,249.0,952759,7440,3598,2025-04-21T09:59:46Z,https://youtu.be/0jzVYoBUAoo,Regular
"The Last Of Us - Well, They Really Did It",The Critical Drinker,Entertainment,439.0,1648719,79803,10531,2025-04-21T17:00:15Z,https://youtu.be/7US7_rtOkJY,Regular
Morgan Wallen - I’m The Problem (The Shop Sessions),MorganWallenVEVO,Music,183.0,252174,10423,846,2025-04-21T18:00:25Z,https://youtu.be/HwThuMZ80RA,Regular
Major US retailers 'warn President Trump of empty shelves' if tariff policies continue | BBC News,BBC News,News & Politics,104.0,1169363,6078,4069,2025-04-23T22:40:13Z,https://youtu.be/xuxNufDldqo,Regular
The New Mike Tyson? Moses Itauma — A Teen Prodigy with Brutal Power!  ...He’s Just Getting Started!,History of Boxing EN,Sports,758.0,4427395,41403,5690,2025-04-11T23:15:33Z,https://youtu.be/4Q4nDw1D8kg,Regular
24 Hours In DC,Duke Dennis,Entertainment,2353.0,1101969,45350,2175,2025-04-20T22:42:04Z,https://youtu.be/DrAWwpAkOuY,Regular
We Got Engaged,MrsMunchie,Entertainment,1413.0,1084676,54474,3682,2025-04-20T23:46:14Z,https://youtu.be/A8Z-RfLTqd0,Regular
"I SPENT $100,000 AT PORSCHE SO I COULD BEAT A FORMULA 1 DRIVER",Mat Armstrong,Autos & Vehicles,3294.0,3916453,184745,6350,2025-04-20T18:24:40Z,https://youtu.be/DCtDoT7g9Ko,Regular
Update On Willow. She’s Been Struggling!,Kristi Cates,People & Blogs,316.0,61693,7673,1966,2025-04-21T18:30:08Z,https://youtu.be/yubV23utfEA,Regular
Boeing jet returns to U.S. from China,FOX 13 Seattle,News & Politics,190.0,745115,5848,4382,2025-04-21T15:23:39Z,https://youtu.be/muK5cPIxyLw,Regular
"NHL Highlights | Oilers vs. Kings | Gm 1 | April 21, 2025",NHL,Sports,614.0,323917,3378,957,2025-04-22T05:20:42Z,https://youtu.be/NQN1c3E0JVk,Regular
QUADECA - MONDAY,Quadeca,Music,255.0,144268,18408,1798,2025-04-22T00:11:23Z,https://youtu.be/RDp61U9zTj0,Regular
I Got a Pet Dragon...,Aquarium Info,Pets & Animals,773.0,938397,11791,4075,2025-04-20T14:13:15Z,https://youtu.be/FCVuWcU475c,Regular
The life of Pope Francis and its most important moments | DW Documentary,DW Documentary,Education,1557.0,414904,6324,923,2025-04-21T08:12:29Z,https://youtu.be/tFdcoEXqY7o,Regular
"The April 20, 2025 Severe Weather Coverage, As It Happened...","Ryan Hall, Y'all",News & Politics,27345.0,1135009,26464,667,2025-04-21T03:16:27Z,https://youtu.be/V49VDgGopks,Regular
Brawl Talk: A NEW BRAWLER RARITY?!,Brawl Stars,Gaming,735.0,11548821,437768,59196,2025-04-19T15:00:10Z,https://youtu.be/6D1yFt1Uook,Regular
My Daughter Survives TEN BROTHERS,Jordan Matter,Entertainment,1854.0,8808115,96673,13465,2025-04-19T14:00:07Z,https://youtu.be/XG1wg3ELG9w,Regular
Cunha & Delap DEALS Done? Osimhen BACK On... Man Utd Transfer News,The United Stand,Sports,3287.0,166034,4209,320,2025-04-24T09:59:31Z,https://youtu.be/TQCDzFu2FlQ,Regular
"$1 vs $25,000 Build Challenge",MrBeast Gaming,Gaming,1246.0,13387020,388853,7968,2025-04-19T16:00:01Z,https://youtu.be/2C6omXxIcyE,Regular
I Tried The Worlds Most Expensive Cheese,Joshua Weissman,Howto & Style,1042.0,990003,33035,1015,2025-04-20T14:30:08Z,https://youtu.be/Hju_pkIqa28,Regular
DRAGON BALL: Sparking! ZERO - DAIMA Character Pack 1 Trailer,Bandai Namco Entertainment America,Gaming,123.0,158009,8811,2349,2025-04-21T14:02:03Z,https://youtu.be/Ut2y8gAv3aY,Regular
Why would Peeps™ do this?,The Grumps,Comedy,864.0,432439,26351,1124,2025-04-21T16:00:06Z,https://youtu.be/3XyDEMolFAU,Regular
Steph Joined the Inside Guys After a Game 1 Win in Houston 🍿 | NBA on TNT,NBA on TNT,Sports,1000.0,689987,9634,2308,2025-04-21T04:53:53Z,https://youtu.be/crql6mBGs4Y,Regular
Jimmy Butler III Recaps Warriors Game 1 Win Over Rockets,Golden State Warriors,Sports,454.0,184373,3108,372,2025-04-21T05:37:06Z,https://youtu.be/X1X0__K3hhA,Regular
What Verstappen Said About Piastri's Driving,Driver61,Autos & Vehicles,717.0,201192,6429,726,2025-04-23T15:46:16Z,https://youtu.be/cx90r2O6Dcw,Regular
"#7 WARRIORS at #2 ROCKETS | FULL GAME 1 HIGHLIGHTS | April 20, 2025",NBA,Sports,742.0,2752978,32941,2962,2025-04-21T04:13:46Z,https://youtu.be/rMZknDqC-Ho,Regular
I did redstone for the Minecraft Movie,Mumbo Jumbo,Film & Animation,517.0,3998162,187163,3254,2025-04-19T19:00:24Z,https://youtu.be/GTAGFUy25J4,Regular
Ash Again / Gawr Gura x Casey Edwards,Gawr Gura Ch. hololive-EN,Gaming,299.0,3051903,315820,24479,2025-04-20T00:45:44Z,https://youtu.be/twUFbqyul_M,Regular
"NHL Highlights | Senators vs. Maple Leafs | Gm 2 | April 22, 2025",NHL,Sports,617.0,200194,2018,274,2025-04-23T03:04:51Z,https://youtu.be/YHOJDhBzXWU,Regular
SIDEMEN AMONG US: JAILOR ROLE,MoreSidemen,People & Blogs,3350.0,4539315,145855,5218,2025-04-19T18:15:05Z,https://youtu.be/pTfN28TR-SY,Regular
'He owes me nothing' - Benji hits back at Lachlan Galvin backlash 🔥 | Wests Tigers Press Conference,Fox League,Sports,517.0,158101,2319,664,2025-04-17T02:55:29Z,https://youtu.be/FGaG_GYC1vI,Regular
The Elder Scrolls 4 Oblivion Remake/Remaster Release Is Imminent - 8 NEW CHANGES You May Not Know,GamingBolt,Gaming,489.0,120870,1514,594,2025-04-21T10:01:08Z,https://youtu.be/iIdw1YHx76w,Regular
24hrs Flying First Class from Australia to England,Trek Trendy,Travel & Events,1302.0,818121,18018,740,2025-04-20T19:00:32Z,https://youtu.be/VIWBXQuMyyc,Regular
"Game 1 Reactions: Lakers BLOWN OUT vs. Wolves, Warriors-Rockets, Clippers-Nuggets | NBA Playoffs",What's Wright? With Nick Wright,Sports,1656.0,135506,2648,1026,2025-04-21T14:56:37Z,https://youtu.be/o68kFXB6X28,Regular
Audience member Max Fox’s SPONTANEOUS audition gets him a GOLDEN BUZZER! | Auditions | BGT 2025,Britain's Got Talent,Entertainment,825.0,3391006,45254,4939,2025-04-19T19:04:52Z,https://youtu.be/x0O0yTd8L-8,Regular
Baller League Matchday 5 LIVE!,Baller League UK,Sports,21986.0,1001882,10547,449,2025-04-21T22:32:49Z,https://youtu.be/WJMeASO3sps,Regular
Grox Villager Parkour Tournament!,Grox Live,Gaming,358.0,1911136,66581,2169,2025-04-19T21:06:02Z,https://youtu.be/MRypBB6ERo4,Regular
SIDEMEN AIRPORT ROULETTE,Sidemen,Entertainment,7309.0,6985090,211357,6847,2025-04-20T18:00:25Z,https://youtu.be/LrtPBZcwIEM,Regular
WILD COMEBACK 🔥 Celta Vigo vs. Barcelona | LALIGA Highlights | ESPN FC,ESPN FC,Sports,982.0,811109,11552,2072,2025-04-19T16:40:26Z,https://youtu.be/qjcQpic8r3U,Regular
Doechii - Anxiety (Official Video),IamdoechiiVEVO,Music,252.0,8398912,484324,26906,2025-04-18T15:00:06Z,https://youtu.be/riCP9x31Kuk,Regular
THE GASLIGHT DISTRICT: PILOT,GLITCH,Film & Animation,1615.0,9745715,746306,43869,2025-04-18T22:00:06Z,https://youtu.be/IC8KsZniulw,Regular
Simulating an Ant Colony For 100 Days,TerraGreen,Pets & Animals,569.0,2205479,27863,2141,2025-04-19T12:00:36Z,https://youtu.be/HZtbD074LUY,Regular
Australia Is Taking The P*ss! - Trevor Noah (From Sydney Opera House),Trevor Noah,Comedy,573.0,974407,24475,1261,2025-04-20T12:00:06Z,https://youtu.be/iz7yzETUObY,Regular
EBK Jaaybo - Homebody (Official Music Video),EBK Jaaybo,Music,147.0,834603,31933,3603,2025-04-19T00:00:07Z,https://youtu.be/sI0VDF65Cac,Regular
Stephen A. Smith's NBA Playoffs VERDICT! 🍿,NBA on ESPN,Sports,1111.0,488062,5600,1725,2025-04-21T15:09:43Z,https://youtu.be/TaE2vvx4IcQ,Regular
How writers GAS UP Blind Swordsmen.,CalebCity,Comedy,125.0,609667,86218,3187,2025-04-20T02:54:17Z,https://youtu.be/0HeX7NmWmho,Regular
Noah Lyles & Erriyon Knighton ATTACK 400 Meter Dash In Florida || 2025 Tom Jones Invite,Total Running Productions,Sports,275.0,548609,2621,314,2025-04-19T21:28:46Z,https://youtu.be/VX-7ULUrssc,Regular
1st Round: Montreal Canadiens vs. Washington Capitals Game 1 | Full Game Highlights | ESPN NHL,NHL on ESPN,Sports,706.0,43896,562,80,2025-04-22T02:27:55Z,https://youtu.be/irQ6SCGZai0,Regular
"Remontada épica. Abajo por 2 goles, el Barcelona ganó 4-3 a Celta de Vigo. Raphinha, héroe | La Liga",ESPN Deportes,Sports,850.0,2502349,37308,3781,2025-04-19T16:28:15Z,https://youtu.be/9F7YXjxSzEs,Regular
"#6 TIMBERWOLVES at #3 LAKERS | FULL GAME 1 HIGHLIGHTS | April 19, 2025",NBA,Sports,839.0,2956300,28650,6962,2025-04-20T03:22:07Z,https://youtu.be/9mEhaQQ0C8Y,Regular
HIGHLIGHTS | Real Madrid 1-0 Athletic Club | LaLiga 2024/25,Real Madrid,Sports,189.0,1197401,31545,1250,2025-04-20T22:08:37Z,https://youtu.be/tU3utXf3_3k,Regular
Race Highlights | 2025 Saudi Arabian Grand Prix,FORMULA 1,Sports,492.0,6057115,113376,4773,2025-04-20T19:42:07Z,https://youtu.be/Li93iQDZQeg,Regular
HIM | Official Teaser Trailer,Universal Pictures,Entertainment,105.0,1828227,54185,5712,2025-04-18T15:01:04Z,https://youtu.be/ccmQETThJgs,Regular
Star Wars Zero Company | Official Announce Trailer,EA Star Wars,Gaming,140.0,1268034,32580,3669,2025-04-19T07:31:27Z,https://youtu.be/rcxnRaZ6slU,Regular
Telling My Husband I'm Pregnant,Taylor & Soph,People & Blogs,746.0,268169,9884,623,2025-04-19T16:00:34Z,https://youtu.be/IqEQtrHaeJE,Regular
아스트로(ASTRO) - 꿈속의 문(Moon) : Memory of the Moon,ASTRO 아스트로,Music,340.0,3667425,618375,29202,2025-04-19T09:00:10Z,https://youtu.be/UUFJlUy5aA4,Regular
The Best Things In Life Are Unexpected... WE'RE PREGNANT!,The Cooks,People & Blogs,2923.0,434287,24761,3290,2025-04-18T19:10:53Z,https://youtu.be/_8DA0ZQmSmc,Regular
I transformed an old shipping container into a premium home gym!,Max & Occy,People & Blogs,2039.0,160776,17207,1593,2025-04-20T11:31:05Z,https://youtu.be/t9PN6zBYCf0,Regular
The Fantastic Four: First Steps | Official Trailer | Only in Theaters July 25,Marvel Entertainment,Entertainment,164.0,16811662,444050,34497,2025-04-17T14:00:08Z,https://youtu.be/pAsmrKyMqaA,Regular
Man. United vs. Lyon: Extended Highlights | UEL Quarter-final Leg 2 | CBS Sports Golazo - Europe,CBS Sports Golazo - Europe,Sports,834.0,1709054,27833,5228,2025-04-17T22:13:25Z,https://youtu.be/9OPyZMVBO9o,Regular
Will Oblivion Remastered Release Today?,ESO,Gaming,300.0,249436,6900,1647,2025-04-21T19:20:04Z,https://youtu.be/45WM26xB5Og,Regular
